,0
1953-04-01,0.028300000000000002
1953-05-01,0.0305
1953-06-01,0.0311
1953-07-01,0.029300000000000003
1953-08-01,0.029500000000000002
1953-09-01,0.0287
1953-10-01,0.026600000000000002
1953-11-01,0.0268
1953-12-01,0.0259
1954-01-01,0.0248
1954-02-01,0.024700000000000003
1954-03-01,0.023700000000000002
1954-04-01,0.0229
1954-05-01,0.023700000000000002
1954-06-01,0.023799999999999998
1954-07-01,0.023
1954-08-01,0.0236
1954-09-01,0.023799999999999998
1954-10-01,0.024300000000000002
1954-11-01,0.0248
1954-12-01,0.025099999999999997
1955-01-01,0.026099999999999998
1955-02-01,0.0265
1955-03-01,0.0268
1955-04-01,0.0275
1955-05-01,0.0276
1955-06-01,0.0278
1955-07-01,0.028999999999999998
1955-08-01,0.0297
1955-09-01,0.0297
1955-10-01,0.0288
1955-11-01,0.028900000000000002
1955-12-01,0.0296
1956-01-01,0.028999999999999998
1956-02-01,0.028399999999999998
1956-03-01,0.0296
1956-04-01,0.0318
1956-05-01,0.030699999999999998
1956-06-01,0.03
1956-07-01,0.0311
1956-08-01,0.0333
1956-09-01,0.0338
1956-10-01,0.0334
1956-11-01,0.0349
1956-12-01,0.0359
1957-01-01,0.0346
1957-02-01,0.0334
1957-03-01,0.0341
1957-04-01,0.0348
1957-05-01,0.036000000000000004
1957-06-01,0.038
1957-07-01,0.0393
1957-08-01,0.0393
1957-09-01,0.0392
1957-10-01,0.0397
1957-11-01,0.037200000000000004
1957-12-01,0.0321
1958-01-01,0.030899999999999997
1958-02-01,0.0305
1958-03-01,0.0298
1958-04-01,0.0288
1958-05-01,0.0292
1958-06-01,0.0297
1958-07-01,0.032
1958-08-01,0.0354
1958-09-01,0.037599999999999995
1958-10-01,0.038
1958-11-01,0.0374
1958-12-01,0.038599999999999995
1959-01-01,0.04019999999999999
1959-02-01,0.039599999999999996
1959-03-01,0.039900000000000005
1959-04-01,0.0412
1959-05-01,0.0431
1959-06-01,0.0434
1959-07-01,0.044000000000000004
1959-08-01,0.0443
1959-09-01,0.046799999999999994
1959-10-01,0.0453
1959-11-01,0.0453
1959-12-01,0.046900000000000004
1960-01-01,0.0472
1960-02-01,0.0449
1960-03-01,0.0425
1960-04-01,0.042800000000000005
1960-05-01,0.0435
1960-06-01,0.0415
1960-07-01,0.039
1960-08-01,0.038
1960-09-01,0.038
1960-10-01,0.038900000000000004
1960-11-01,0.0393
1960-12-01,0.0384
1961-01-01,0.0384
1961-02-01,0.0378
1961-03-01,0.0374
1961-04-01,0.0378
1961-05-01,0.0371
1961-06-01,0.0388
1961-07-01,0.0392
1961-08-01,0.0404
1961-09-01,0.0398
1961-10-01,0.0392
1961-11-01,0.0394
1961-12-01,0.0406
1962-01-01,0.0408
1962-02-01,0.0404
1962-03-01,0.0393
1962-04-01,0.0384
1962-05-01,0.0387
1962-06-01,0.0391
1962-07-01,0.0401
1962-08-01,0.0398
1962-09-01,0.0398
1962-10-01,0.0393
1962-11-01,0.0392
1962-12-01,0.038599999999999995
1963-01-01,0.0383
1963-02-01,0.0392
1963-03-01,0.0393
1963-04-01,0.0397
1963-05-01,0.0393
1963-06-01,0.039900000000000005
1963-07-01,0.04019999999999999
1963-08-01,0.04
1963-09-01,0.0408
1963-10-01,0.041100000000000005
1963-11-01,0.0412
1963-12-01,0.041299999999999996
1964-01-01,0.0417
1964-02-01,0.0415
1964-03-01,0.042199999999999994
1964-04-01,0.042300000000000004
1964-05-01,0.042
1964-06-01,0.0417
1964-07-01,0.04190000000000001
1964-08-01,0.04190000000000001
1964-09-01,0.042
1964-10-01,0.04190000000000001
1964-11-01,0.0415
1964-12-01,0.0418
1965-01-01,0.04190000000000001
1965-02-01,0.0421
1965-03-01,0.0421
1965-04-01,0.042
1965-05-01,0.0421
1965-06-01,0.0421
1965-07-01,0.042
1965-08-01,0.0425
1965-09-01,0.0429
1965-10-01,0.0435
1965-11-01,0.044500000000000005
1965-12-01,0.0462
1966-01-01,0.0461
1966-02-01,0.0483
1966-03-01,0.0487
1966-04-01,0.0475
1966-05-01,0.0478
1966-06-01,0.0481
1966-07-01,0.050199999999999995
1966-08-01,0.052199999999999996
1966-09-01,0.0518
1966-10-01,0.0501
